iter	Passed	Remaining
0	112	112091
1	114	56950
2	115	38433
3	117	29205
4	118	23639
5	120	19923
6	121	17246
7	122	15222
8	124	13661
9	125	12404
10	126	11354
11	127	10470
12	128	9719
13	129	9085
14	129	8532
15	130	8051
16	131	7629
17	132	7245
18	133	6918
19	134	6610
20	135	6335
21	136	6085
22	138	5862
23	139	5653
24	139	5457
25	140	5275
26	141	5108
27	142	4952
28	143	4809
29	144	4671
30	145	4547
31	146	4432
32	147	4325
33	148	4225
34	149	4125
35	150	4030
36	151	3949
37	152	3870
38	154	3798
39	155	3734
40	156	3667
41	158	3607
42	159	3544
43	160	3487
44	161	3433
45	163	3381
46	164	3330
47	165	3287
48	166	3234
49	167	3185
50	168	3139
51	169	3093
52	170	3051
53	171	3010
54	172	2971
55	174	2934
56	175	2900
57	176	2867
58	177	2831
59	178	2795
60	179	2761
61	180	2730
62	181	2701
63	182	2670
64	183	2641
65	184	2613
66	185	2586
67	186	2560
68	187	2536
69	189	2511
70	190	2488
71	191	2464
72	192	2440
73	193	2416
74	194	2393
75	195	2371
76	195	2347
77	196	2326
78	197	2304
79	198	2284
80	199	2264
81	200	2244
82	200	2220
83	201	2200
84	202	2182
85	203	2167
86	204	2151
87	206	2135
88	207	2120
89	208	2104
90	208	2087
91	210	2072
92	210	2057
93	211	2042
94	212	2027
95	213	2012
96	214	1997
97	215	1982
98	216	1969
99	217	1955
100	218	1942
101	219	1931
102	220	1921
103	221	1910
104	222	1898
105	223	1887
106	224	1876
107	225	1865
108	226	1853
109	227	1841
110	228	1830
111	229	1819
112	230	1808
113	231	1798
114	232	1787
115	233	1777
116	234	1767
117	235	1758
118	236	1748
119	237	1738
120	238	1730
121	239	1720
122	240	1713
123	241	1706
124	242	1699
125	243	1691
126	244	1682
127	246	1676
128	247	1669
129	248	1663
130	249	1657
131	251	1651
132	252	1645
133	253	1638
134	254	1632
135	255	1625
136	256	1618
137	257	1611
138	258	1603
139	259	1596
140	261	1590
141	261	1581
142	262	1574
143	264	1569
144	265	1564
145	266	1558
146	267	1551
147	268	1545
148	269	1539
149	270	1532
150	271	1527
151	272	1521
152	273	1514
153	274	1508
154	275	1501
155	276	1495
156	277	1489
157	278	1484
158	279	1479
159	280	1474
160	281	1467
161	282	1461
162	283	1455
163	284	1448
164	285	1442
165	285	1436
166	286	1430
167	287	1425
168	288	1419
169	289	1414
170	290	1408
171	291	1402
172	292	1397
173	293	1394
174	295	1390
175	296	1386
176	297	1382
177	298	1378
178	299	1374
179	300	1370
180	301	1365
181	302	1360
182	303	1356
183	304	1352
184	305	1347
185	306	1342
186	307	1338
187	309	1334
188	310	1331
189	311	1327
190	312	1323
191	313	1319
192	314	1315
193	315	1311
194	316	1307
195	317	1302
196	318	1298
197	319	1293
198	320	1289
199	321	1284
200	322	1280
201	323	1276
202	324	1273
203	325	1269
204	326	1266
205	327	1263
206	328	1259
207	329	1256
208	330	1252
209	331	1248
210	332	1245
211	333	1240
212	334	1237
213	335	1232
214	336	1229
215	337	1225
216	338	1222
217	339	1219
218	340	1215
219	342	1212
220	343	1210
221	344	1207
222	345	1203
223	346	1200
224	347	1196
225	348	1193
226	349	1190
227	350	1187
228	351	1184
229	352	1181
230	354	1179
231	355	1176
232	356	1174
233	357	1171
234	359	1169
235	360	1166
236	361	1164
237	363	1162
238	364	1159
239	365	1157
240	366	1155
241	368	1152
242	369	1151
243	370	1149
244	372	1147
245	373	1144
246	374	1140
247	375	1137
248	376	1134
249	377	1131
250	377	1127
251	378	1124
252	379	1121
253	380	1118
254	381	1115
255	383	1113
256	384	1110
257	385	1108
258	386	1106
259	387	1103
260	388	1100
261	389	1098
262	390	1095
263	391	1092
264	392	1090
265	394	1087
266	395	1084
267	396	1082
268	397	1079
269	398	1077
270	399	1075
271	401	1073
272	402	1071
273	403	1069
274	406	1070
275	407	1068
276	408	1066
277	409	1063
278	410	1061
279	411	1058
280	412	1056
281	414	1054
282	415	1052
283	416	1050
284	417	1047
285	418	1045
286	419	1043
287	420	1040
288	422	1038
289	423	1036
290	424	1033
291	425	1031
292	426	1029
293	427	1027
294	428	1025
295	430	1023
296	431	1021
297	433	1020
298	434	1018
299	435	1016
300	436	1014
301	437	1012
302	439	1010
303	440	1007
304	441	1005
305	442	1003
306	444	1002
307	445	1001
308	447	1000
309	448	998
310	450	997
311	451	995
312	452	994
313	454	992
314	455	990
315	456	988
316	457	986
317	459	984
318	460	983
319	462	981
320	463	980
321	464	978
322	465	976
323	467	974
324	468	973
325	469	971
326	471	970
327	472	968
328	474	967
329	475	966
330	477	964
331	478	963
332	480	961
333	481	960
334	482	958
335	484	956
336	485	955
337	486	953
338	488	952
339	490	952
340	491	950
341	493	948
342	494	947
343	496	945
344	497	944
345	499	943
346	500	941
347	501	939
348	502	937
349	504	936
350	505	934
351	506	933
352	508	931
353	509	929
354	510	927
355	512	926
356	513	924
357	514	923
358	516	921
359	517	919
360	518	918
361	520	918
362	522	917
363	524	915
364	525	913
365	526	911
366	527	909
367	528	907
368	529	905
369	530	903
370	532	903
371	533	901
372	535	899
373	536	897
374	537	896
375	538	894
376	539	892
377	540	890
378	541	888
379	543	886
380	544	884
381	545	882
382	546	880
383	547	878
384	549	877
385	550	875
386	551	873
387	553	872
388	554	870
389	555	868
390	556	866
391	557	865
392	559	863
393	560	861
394	561	860
395	564	860
396	565	859
397	567	857
398	568	856
399	570	855
400	571	853
401	572	852
402	574	850
403	575	849
404	577	848
405	579	847
406	580	846
407	582	844
408	583	843
409	585	841
410	586	840
411	587	838
412	588	836
413	589	834
414	590	832
415	591	830
416	593	829
417	594	827
418	595	826
419	596	824
420	598	822
421	599	821
422	600	819
423	601	817
424	603	816
425	604	814
426	605	812
427	607	811
428	608	810
429	610	808
430	611	807
431	612	805
432	614	804
433	616	804
434	618	802
435	619	801
436	620	799
437	621	797
438	623	796
439	624	794
440	625	793
441	628	793
442	629	791
443	630	789
444	631	787
445	632	786
446	633	784
447	634	782
448	636	780
449	637	779
450	638	777
451	639	775
452	640	773
453	641	771
454	642	769
455	643	767
456	644	765
457	645	764
458	646	762
459	647	760
460	648	758
461	649	756
462	650	754
463	651	752
464	652	751
465	653	749
466	655	747
467	656	745
468	657	744
469	658	742
470	659	740
471	660	738
472	661	736
473	661	734
474	662	732
475	663	730
476	665	729
477	666	727
478	667	725
479	668	724
480	669	722
481	670	720
482	671	718
483	672	716
484	673	715
485	674	713
486	675	711
487	676	709
488	677	707
489	678	706
490	679	704
491	680	702
492	681	700
493	682	699
494	683	697
495	685	696
496	686	694
497	687	692
498	688	691
499	689	689
500	690	687
